                                                                               p1                                                                                p2      rg      se        z            p  h2_obs  h2_obs_se  h2_int  h2_int_se  gcov_int  gcov_int_se
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par15.sumstats.gz  0.7183  0.1269   5.6595   1.5186e-08  0.0572     0.0217  1.0021     0.0061    0.1586       0.0036
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par16.sumstats.gz  0.7910  0.0454  17.4266   5.1797e-68  0.1501     0.0233  0.9942     0.0063    0.3793       0.0043
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par17.sumstats.gz  0.7767  0.0521  14.9038   3.1122e-50  0.1870     0.0284  1.0076     0.0067    0.2344       0.0047
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par18.sumstats.gz  0.9073  0.0925   9.8041   1.0807e-22  0.0783     0.0215  0.9992     0.0059    0.3339       0.0049
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par19.sumstats.gz  0.9298  0.1861   4.9974   5.8096e-07  0.0459     0.0243  1.0030     0.0060    0.2783       0.0051
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par20.sumstats.gz  0.8205  0.0493  16.6298   4.2366e-62  0.1787     0.0280  1.0006     0.0062    0.3244       0.0050
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par21.sumstats.gz  0.8909  0.0865  10.2953   7.4023e-25  0.0828     0.0246  0.9944     0.0061    0.3726       0.0054
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par22.sumstats.gz  0.8349  0.0495  16.8726   7.1630e-64  0.1845     0.0249  1.0110     0.0062    0.2576       0.0045
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par23.sumstats.gz  1.1534  0.2171   5.3133   1.0765e-07  0.0484     0.0250  1.0023     0.0062    0.3265       0.0050
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par24.sumstats.gz  0.6073  0.0615   9.8786   5.1567e-23  0.1396     0.0273  0.9930     0.0064    0.1395       0.0038
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par25.sumstats.gz  0.8772  0.1773   4.9471   7.5344e-07  0.0502     0.0231  0.9947     0.0061    0.1344       0.0035
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par26.sumstats.gz  1.3092  1.4394   0.9095   3.6307e-01  0.0097     0.0202  1.0003     0.0054    0.1387       0.0034
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par27.sumstats.gz  1.3341  1.0511   1.2692   2.0437e-01  0.0141     0.0240  1.0064     0.0061    0.1445       0.0039
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par28.sumstats.gz  0.6450  0.0736   8.7641   1.8834e-18  0.0992     0.0248  0.9946     0.0064    0.1486       0.0039
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par29.sumstats.gz  0.7900  0.1195   6.6123   3.7844e-11  0.0650     0.0232  1.0020     0.0065    0.1831       0.0037
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par30.sumstats.gz  0.9279  0.5236   1.7722   7.6365e-02  0.0181     0.0224  0.9977     0.0060    0.1469       0.0037
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par31.sumstats.gz  1.2078  0.4421   2.7320   6.2956e-03  0.0248     0.0204  1.0130     0.0061    0.1543       0.0040
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par04.sumstats.gz  0.6484  0.0559  11.5918  4.5334e-31  0.1951     0.0262  0.9913     0.0061    0.1604       0.0034
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par05.sumstats.gz  0.6437  0.0553  11.6363  2.6948e-31  0.2173     0.0318  0.9980     0.0065    0.1447       0.0039
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par06.sumstats.gz  0.9456  0.0505  18.7409  2.2962e-78  0.1026     0.0229  0.9931     0.0057    0.6500       0.0050
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par07.sumstats.gz  0.8448  0.0609  13.8713  9.4612e-44  0.1397     0.0248  0.9943     0.0063    0.4742       0.0053
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par08.sumstats.gz  0.5390  0.0638   8.4470  2.9878e-17  0.1825     0.0248  0.9941     0.0059    0.1510       0.0033
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par09.sumstats.gz  0.6978  0.1074   6.4989  8.0905e-11  0.0813     0.0242  0.9995     0.0062    0.1699       0.0036
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par10.sumstats.gz  0.5745  0.0626   9.1759  4.4793e-20  0.1719     0.0295  0.9954     0.0065    0.1398       0.0038
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par11.sumstats.gz  0.6876  0.0658  10.4475  1.5043e-25  0.1463     0.0264  1.0044     0.0060    0.1701       0.0037
