pGC1,pGC2,pGC3,pGC4,pGC5,pGC6,pGC7,pGC8,pGC9,pGC10,pGC11,pGC12,pGC13,pGC14,pGC15,pGC16,pGC17,pGC18,pGC19,pGC20,pGC21,pGC22,pGC23,pGC24,pGC25,pGC26,pGC27,pGC28,pGC29,pGC30,pGC31
9.53386866885759e-19,0.000779693243179136,1.40974398112731e-69,0.00858398085861134,3.96047273154081e-05,0.000699009701892887,0,0.816946848951528,0.00111114620335073,0.0479854765391865,1.14734913319948e-06,0.0327311289312319,0.000290294204738382,0,2.34125124490553e-08,0.936183291912351,0.0335480062442869,0.0699476151681263,8.50068861706023e-06,0.0440528354221261,0.234464755502013,0.00327375690890626,4.74425511994596e-09,0.00304848755571079,0.616649853310994,0.00226004651961808,0.121282263222505,9.63805647970539e-144,1.28797306980091e-276,2.42467551879143e-05,0.000764841242742682
1.9068358587235e-12,0.0270402913952548,7.85237666426408e-36,0.021083331272361,0.133625459247013,1.98241335281341e-06,1.13271703482195e-100,0.425818087277456,0.00311856981638143,0.0258979969590905,0.374333436199175,0.00228594391345552,1.75480984678318e-10,2.06262379974466e-08,0,0.461855037500659,0.0770446147828799,0.0202026847320431,0.00363577860213632,0.203989668805276,0.149297576008508,0.0733263143711325,0.384899700224813,0.0321538065688768,0.000437204336606516,2.32785254106164e-08,1.65446328355152e-05,2.23601212828233e-06,0.00093265103159116,2.21572048571957e-192,6.26922711758891e-123
2.00261540572728e-23,4.11084670939882e-51,0.743416846060791,1.73570871265458e-123,8.33304680590023e-05,0.0825050262881009,0.982724067908683,0,0.000359050893577025,0.000153567704382338,0.027053959239687,0.00659681932272102,0.113584983498486,0.901868914433876,0.473584783736519,0,3.45863793768673e-11,0.000165122466653801,0.0524971757614134,0.02203299757399,0.000270810478708831,0.000375145862276108,0.369566465298636,0.0172839337710338,0.00153339653967692,0.0591288224529091,0.754033959704358,0.347607469644174,0.732001081485824,0.235158265095499,0.624570123355821
2.83632025456817e-16,2.6248005862777e-15,0.00483738639814094,1.95874746754743e-20,0.000100583969013937,0.0229102299779956,0.00875843364589358,3.98703855316258e-57,0.000384666178224572,0.0105293192735062,8.7589849783419e-05,0.0650984369321829,0.000790449514052947,0.0684675407204339,0.0624143505690368,2.25527562284647e-11,0,0.000181986614645421,0.0370668517928237,0.00200887708262237,0.00178601867627059,2.20684280842359e-05,0.00674539599378031,0.017297412688949,0.155387434159641,0.00237287932870305,0.146911961817809,0.0187724245557978,0.0629894981967165,0.0277475753260199,0.0101858800169694
6.95590831755412e-30,8.11616184715884e-42,0.00165870643756841,1.65442934589274e-65,4.09633164111962e-07,0.00612878634718058,0.0176961108709296,2.20351800776134e-08,0,5.77987142697837e-05,0.00104439489608759,0.0077711806674599,0.0447554742764062,0.0745702952463613,0.0362510657913565,0.000278295560533031,0.000744326505854654,0,8.22129201078143e-09,0.00224728473278567,8.76768546909994e-07,0.00379291221330495,0.000454762620150157,0.00492245042280067,0.0291523400966643,0.139590198251149,0.244525181830335,0.000933383480791976,0.0916254834262145,0.761253141915816,0.00083220776541953
2.45793040605568e-13,2.38691391747134e-14,0.000255542813643242,5.69346381399313e-29,0.00162383626079336,0.00475294539064039,2.69768352506145e-05,0.0333036055488954,1.25614213656523e-90,0.467272159730131,1.40167616391783e-09,0.164051480602776,0.00210777345239628,8.37798864420581e-06,0.00160596264646496,0.0743866089565767,0.0495749976133808,8.58708108934903e-11,0,0.670339081970736,0.027571894610803,2.9823613931666e-05,4.5076452171325e-08,0.131503517646226,0.101117765413561,0.21315485722532,0.0142975496418455,0.0653386335442994,5.28888371671267e-07,0.0215779114915208,0.000252356470450154
1.98747821232884e-20,3.85151028516175e-27,0.00455497078535094,0.0120406456318185,6.34954213863593e-67,0.0303449955046054,0.0674512888860458,0.0280063445311931,0.064326079819649,3.7821220996148e-89,2.17390505151197e-07,0.169013185409292,0.0100828065303358,0.0331020884182516,0.21720427493241,0.0316421525497312,0.00177072752649142,0.00374304500025064,0.653228019987132,0,2.08669307490558e-05,0.00731402265735444,1.93268670694749e-06,0.177954590271326,0.112530368160577,0.0649085320764202,0.0799930881285979,0.000209102316347904,0.0112609388554125,0.168878960361181,0.0103858668568951
1.83175304791449e-27,1.48806439134213e-39,0.0912269392241765,3.3755306520303e-12,5.74333841352048e-86,0.0627006853907833,0.349769642787018,4.55685307743476e-05,2.67261124892436e-07,6.1885351944559e-256,3.97614413392533e-06,0.158510434248035,0.0478989666642348,0.248245160337261,0.170209710853374,4.27365947520551e-05,0.015903496940456,4.91930338962144e-06,0.0153562852008264,4.69854760599759e-05,0,0.0018797934296784,0.00483152822024359,0.268163447055545,0.415238500033432,0.0356540039277378,0.403957308687556,0.325694216577562,0.193973260719138,0.246312944473157,0.0854918922720841
6.07193729882614e-24,2.71515630574082e-29,3.79281171797262e-07,3.46439809236211e-08,1.52720882799093e-33,0.00151955064390685,0.00126114556770454,9.74127958279913e-05,0.000901385665346732,2.981604247015e-05,1.50868754019854e-65,0.0145503999786303,0.00373507500346387,0.00068727837639619,0.0623357049269464,0.000202994698342663,2.80987208778247e-06,0.00300125353086946,1.00240460995141e-05,0.00560660457691756,0.00505109067399738,0,0.000449482522371451,0.281821697550963,0.0334543240501163,0.00702369824281395,0.0644249452479555,0.0114589542955457,0.00302801712483178,0.0654520200201704,0.0147930261560055
3.07988170336904e-21,3.14812483720206e-36,4.99038522931582e-06,0.00036077074246156,2.6668075128383e-63,0.111135877632448,7.89965611800122e-07,0.311313506503995,0.000194007878179571,4.40959323477809e-07,1.20522776506202e-220,0.0993533607765825,0.0148452150424808,2.14360246727682e-12,0.400690762380085,0.334642319162488,0.0052330636220717,0.000383869931276276,5.63998895548611e-08,5.68335420901616e-06,0.0106942932000337,5.28976224382475e-05,0,0.291432999228716,0.15289420412553,0.182710491672461,0.00499953722705148,0.0143054672786741,4.41309445644749e-16,0.409036233192041,0.179262552199745
1.99176025390602e-08,0.019733384367145,1.98093218327597e-19,0.0138653482497931,0.12145294601285,2.85558163107252e-43,0.00859630023783207,0.0205457922165619,0.0123979072047487,0.121111794247853,0.509164885094427,1.18516109439287e-136,6.6840136929016e-06,0.00856610025224169,0.0552574373247621,0.00416678023086678,0.030076198583603,0.00407353500443766,0.140726780720904,0.193171686372814,0.228707535995143,0.300964897412946,0.301801077280225,0,1.67466834870293e-05,0.000178351392607425,0.00122138060988677,1.95252256169696e-05,0.249522751058405,0.394138282388686,0.0101218912934401
3.80512578121056e-13,0.103288979697411,1.40051844530842e-36,0.0193808191868058,0.0342468212241989,1.90580946295562e-108,0.211921499514438,0.00579118958189268,0.015295207568706,0.154902209901363,0.0148940709710477,8.46488762147493e-184,0.00354201144334136,0.62715185964612,0.00116718954881599,0.00572463363604621,0.167951756218472,0.0474371625519298,0.12690896440357,0.146334416683022,0.408402578024426,0.0102616333508564,0.157138607302539,3.67249933241331e-06,0,9.41345231556543e-06,0.490158539847675,0.468897588801808,0.219498914781752,0.00989520488844953,0.0140483381731808
5.66755184574262e-22,0.0049492078984771,1.69514514448032e-41,4.07516168701536e-06,0.0183974165280579,7.18790890437887e-57,2.53230864051258e-05,0.0285116751530385,0.0704332487966804,0.0276445073014945,0.00470200464270044,3.27728497546119e-07,0,0.000719370515726403,9.92007660280804e-08,0.0749349953807613,0.00116271824154517,0.126695603693951,0.226760996640525,0.0655240230838109,0.0409205972563131,0.00844063206325258,0.178797723093642,0.000468910169914289,0.000105512669837654,0,5.57764588933039e-06,0.0092589301447904,0.0721236961098164,1.57582341629616e-08,0.00113557107739888
1.16867996810484e-05,0.399640061136526,1.0144184457395e-14,0.256224769829536,0.186724754383343,2.9410160056301e-23,0.00492969515796621,0.866955190023666,0.188796812048854,0.326172996160087,0.00667783861695396,0.0142853709583512,1.70363221143657e-75,0.130221735706937,2.87500753164644e-05,0.774831692204352,0.176600622032245,0.257227502601835,0.0103108361330327,0.086763439622278,0.387483229526554,0.0720652364666097,0.014878190627158,0.000647008584551947,0.459400164899816,2.85441218127537e-07,0,0.0362309470090553,0.101696214370869,0.104221501955233,2.58116304133789e-07
1.47925192500482e-11,0.0060675925920736,1.13523541104564e-29,0.00118226951114656,0.0134500935393626,1.67004449551133e-05,2.56003658561174e-95,0.38481313498747,0.00764732012145013,0.00970360364224835,0.0393574627390228,0.00100651117779969,0.000551682645080104,7.33306724273264e-112,5.2176060758957e-06,0.371128925184081,0.025882305554528,0.003285413772641,0.0484276111256732,0.000767953495282496,0.272414944560117,0.01921109735524,0.00614963136484977,7.28187337607174e-07,0.477946681043625,0.00333571777398918,0.0525985739982441,0,2.02308550975379e-08,0.00094405054888546,0.00562882005755047
1.16330950132754e-17,0.00014571450058886,9.58519938284313e-39,0.0660734425069409,2.20206502350641e-06,0.203885449290384,2.3030457393853e-151,0.830857229207175,0.00090073609075967,0.026299035146183,7.62122859331697e-12,0.124996207449676,0.049638823772225,9.65879848084066e-181,0.000341054558230923,0.747498197014872,0.0389749009722849,0.118514536118318,9.1752802501516e-07,0.0115522671327925,0.190736920650578,0.00297553933889205,2.18644704721961e-16,0.241135695713577,0.182648528022221,0.0652291136963256,0.128407702053877,1.49978317763945e-11,0,0.0225232870153337,0.00162738905846864
6.14974816337117e-06,0.189658561298085,9.17112012931817e-18,0.456346167082552,0.205679568214247,0.0197728114158264,8.00871701969725e-35,0.199406784788682,0.41142005427317,0.179433130188411,0.26287328459152,0.196977643836549,7.33328428512122e-06,6.70787516845316e-05,5.55524638389418e-237,0.236851530143106,0.0429001335730748,0.781534749453995,0.0368039355762593,0.159848640177538,0.260897765113635,0.0714128908534628,0.406648453423524,0.388909193537429,0.0162348777754748,1.89803939148509e-08,0.0973233729934637,2.2554885538156e-05,0.0486751360226729,0,2.30879308617043e-07
3.54621130460511e-08,0.000351497341964863,7.75545322936692e-17,0.00751835001484558,0.0157497506626754,0.000206107266795023,1.87037248885178e-25,0.384875411835673,0.000813169747372859,0.0362902404612944,0.0558231506180364,0.0432009953103996,7.17000889201189e-07,0.00139720265023065,3.05078922305357e-119,0.610603175781102,0.0129556741562042,0.000580061671387985,0.000520964109327746,0.0112170153676331,0.101779633308012,0.0136860111366304,0.184104136881857,0.0114986112928171,0.00807105425870369,0.00423042017311716,2.29108359270291e-06,0.00865533338260127,0.00122866599694529,1.24955208088742e-08,0
