Name	Coefficient	Coefficient_std_error	Coefficient_P_value	partition
Heart_Left_Ventricle	1.51346746619e-09	4.98770841003e-09	0.380777494933	28
Esophagus_Mucosa	1.60012062272e-09	5.51702556626e-09	0.38589541638	28
A15.145.300.Fetal.Blood	1.95841065563e-09	6.82360093288e-09	0.38705407365	28
A05.360.319.679.256.Cervix.Uteri	1.56700908528e-09	5.57946987081e-09	0.389411696803	28
A03.556.875.500.Esophagus	1.5316809277e-09	5.51842255117e-09	0.390675935712	28
A15.382.520.604.700.Spleen	1.95330666513e-09	7.39800430185e-09	0.395877797487	28
Kidney_Cortex	1.05918147379e-09	5.53650405698e-09	0.424141867014	28
A15.382.520.604.800.Palatine.Tonsil	1.15153563266e-09	6.16854875013e-09	0.425956344116	28
A10.615.550.Mucous.Membrane	1.03241949544e-09	5.5412048303e-09	0.426098170829	28
A11.382.Endocrine.Cells	1.04146098928e-09	5.61805509315e-09	0.426466478786	28
Artery_Aorta	7.05161130115e-10	5.2451934524e-09	0.446527528469	28
A07.541.510.110.Aortic.Valve	6.18023362605e-10	4.85799192616e-09	0.449383982892	28
Pituitary	5.21663421188e-10	5.19058171566e-09	0.459972929856	28
A05.360.319.114.373.Fallopian.Tubes	3.57767675028e-10	5.69898476129e-09	0.474971865272	28
A15.382.490.555.567.622.Lymphocytes..Null	3.07515719579e-10	5.30779285459e-09	0.476899546129	28
A15.382.812.Mononuclear.Phagocyte.System	3.01589083664e-10	6.20885307999e-09	0.480629378935	28
A10.272.497.Epidermis	2.738182329e-10	6.13814925988e-09	0.482209384912	28
A11.443.Erythroid.Cells	1.64864186584e-10	6.20990313336e-09	0.48940988809	28
A05.360.319.679.690.Myometrium	1.07891687011e-10	5.71774636232e-09	0.49247255846	28
Skin_Not_Sun_Exposed_(Suprapubic)	-6.67598952826e-11	6.30335723792e-09	0.504225184444	28
A02.835.583.443.800.Synovial.Membrane	-1.065337921e-10	5.54522558114e-09	0.507663929811	28
Pancreas	-2.46822230597e-10	4.87694590095e-09	0.520181852786	28
A15.382.490.315.583.Neutrophils	-3.98896139209e-10	6.63496772328e-09	0.523970082278	28
A10.165.450.300.425.Keloid	-3.63682941114e-10	5.10266740923e-09	0.528409799364	28
A06.407.900.Thyroid.Gland	-6.03358827839e-10	4.92041850354e-09	0.54879736882	28
A05.360.444.492.362.Foreskin	-6.12448254313e-10	4.85197189118e-09	0.550223749663	28
A14.549.Mouth	-7.37329040824e-10	5.36719201866e-09	0.554633617296	28
A15.382.Immune.System	-9.49559829222e-10	6.79079263415e-09	0.555603036912	28
A03.556.875.875.Stomach	-1.19998876812e-09	6.48099705847e-09	0.573446253571	28
A03.556.249.249.356.668.Colon..Sigmoid	-1.12220201746e-09	5.92516427073e-09	0.575108744257	28
A11.118.637.555.567.562.B.Lymphocytes	-1.26047601116e-09	6.08087857237e-09	0.582106426385	28
A05.360.319.Genitalia..Female	-1.18465535383e-09	5.6049230705e-09	0.583696733915	28
Prostate	-1.2984757786e-09	6.07752747988e-09	0.584590769438	28
A15.145.846.Serum	-1.5310657535e-09	6.95327133233e-09	0.587139804405	28
A03.734.Pancreas	-1.16580444746e-09	5.15916871276e-09	0.589386650438	28
A05.360.Genitalia	-1.55555080141e-09	5.71485461669e-09	0.607263684408	28
A15.145.Blood	-1.77411152342e-09	5.84641137167e-09	0.619227699381	28
Uterus	-1.62502279802e-09	5.32815831622e-09	0.619812243276	28
A11.872.378.Hematopoietic.Stem.Cells	-1.77155202396e-09	5.46750112231e-09	0.627036636627	28
A15.378.316.580.Monocytes	-2.17676370402e-09	6.67091784543e-09	0.627903756072	28
A06.407.312.Gonads	-2.0338835724e-09	5.55276100409e-09	0.642923151632	28
A11.627.340.360.Granulocyte.Precursor.Cells	-2.43277442037e-09	6.46404129967e-09	0.646673511209	28
A05.360.319.114.630.Ovary	-2.20999087795e-09	5.66192295531e-09	0.651851932678	28
A11.118.637.Leukocytes	-2.92311816939e-09	6.94331873271e-09	0.66312145907	28
Cells_Transformed_fibroblasts	-2.13035124454e-09	4.89812200365e-09	0.668194199088	28
A03.556.249.124.Ileum	-2.67744568699e-09	5.94544899618e-09	0.673765663142	28
A08.186.211.730.317.357.Hypothalamus	-2.79208914196e-09	6.03182922334e-09	0.678279325785	28
Whole_Blood	-2.48509535661e-09	5.35460425987e-09	0.678713522528	28
A14.549.167.646.Periodontium	-2.86519673393e-09	6.08391541225e-09	0.681160416132	28
A10.615.Membranes	-2.60133991989e-09	5.4031715089e-09	0.684900528074	28
Testis	-2.08019608343e-09	4.29940990998e-09	0.685747777759	28
A10.165.114.830.750.Subcutaneous.Fat	-2.9100634915e-09	5.84906811645e-09	0.690590915278	28
A07.541.Heart	-2.69076593556e-09	5.30926395427e-09	0.693854468046	28
A11.329.171.Chondrocytes	-2.60213876571e-09	5.0785428694e-09	0.69580711072	28
A11.118.637.555.567.569.T.Lymphocytes	-2.91994777527e-09	5.66801583767e-09	0.696780176004	28
A06.407.071.140.Adrenal.Cortex	-2.79409862808e-09	5.32610062e-09	0.700071069603	28
A17.815.Skin	-3.16459689577e-09	6.02729351633e-09	0.700223847882	28
A11.872.Stem.Cells	-3.18135132487e-09	5.93332627705e-09	0.704084113147	28
A15.382.490.555.567.537.Killer.Cells..Natural	-3.17347389369e-09	5.87750136534e-09	0.70537937495	28
A15.145.229.637.555.Leukocytes..Mononuclear	-3.39085451032e-09	6.2615238525e-09	0.705931670877	28
A11.872.653.Neural.Stem.Cells	-3.04360776591e-09	5.56784734359e-09	0.707686939775	28
A06.407.Endocrine.Glands	-3.17672357443e-09	5.47632356558e-09	0.719070760805	28
A03.556.124.684.Intestine..Small	-3.52306002003e-09	6.06191316233e-09	0.719440278719	28
A15.382.680.Phagocytes	-3.99418347246e-09	6.7772595814e-09	0.722187018927	28
A11.872.700.500.Induced.Pluripotent.Stem.Cells	-3.2571364794e-09	5.4323115591e-09	0.725608819382	28
A09.371.729.Retina	-3.14197464403e-09	5.23251080895e-09	0.725904040986	28
Ovary	-2.95409526706e-09	4.89765266709e-09	0.726800711895	28
Cells_EBV-transformed_lymphocytes	-3.57204097385e-09	5.72504709801e-09	0.733663929034	28
A11.436.348.Hepatocytes	-4.19399194261e-09	6.34537186237e-09	0.74567874071	28
A11.872.190.Embryonic.Stem.Cells	-3.6423547603e-09	5.46836705764e-09	0.747319129806	28
A07.541.560.Heart.Ventricles	-3.8429787762e-09	5.33240013862e-09	0.764448211895	28
A05.810.453.Kidney	-3.40937349398e-09	4.6725895188e-09	0.767199138183	28
A10.549.400.Lymph.Nodes	-3.70212431695e-09	5.04842051186e-09	0.768319361978	28
A11.872.190.260.Embryoid.Bodies	-4.29746203305e-09	5.81745782101e-09	0.76996093735	28
Colon_Transverse	-4.05057462152e-09	5.47434282664e-09	0.770325668746	28
A11.329.830.Stromal.Cells	-4.00261041471e-09	5.350674487e-09	0.772787162717	28
A10.165.114.830.500.750.Subcutaneous.Fat..Abdominal	-4.44531344939e-09	5.87545936116e-09	0.775352215093	28
A11.620.520.Myocytes..Smooth.Muscle	-3.95838272628e-09	5.1860145035e-09	0.777351877068	28
A11.329.114.Adipocytes	-4.69120422206e-09	6.02356879799e-09	0.781953619731	28
A06.407.071.Adrenal.Glands	-4.84205548727e-09	6.18464923357e-09	0.783161525328	28
Liver	-4.47143833221e-09	5.60404931891e-09	0.787534049266	28
Minor_Salivary_Gland	-4.11576701543e-09	5.10907585144e-09	0.789757338966	28
A10.690.467.Muscle..Smooth	-4.98864368307e-09	6.01152668322e-09	0.796687179134	28
A10.549.Lymphoid.Tissue	-4.46575388684e-09	5.3644010409e-09	0.797430827156	28
A07.231.Blood.Vessels	-5.1755401832e-09	6.20526338019e-09	0.797875423546	28
A02.835.583.443.800.800.Synovial.Fluid	-4.87551998192e-09	5.6878335972e-09	0.804328399566	28
A15.382.812.522.Macrophages	-5.31311785476e-09	5.98738901706e-09	0.812564111153	28
A08.186.211.132.Brain.Stem	-4.53189321631e-09	4.82810340455e-09	0.826044442252	28
A10.165.450.300.Cicatrix	-4.7694833766e-09	4.92073166398e-09	0.833793019756	28
A02.835.232.834.151.Cervical.Vertebrae	-5.47168922569e-09	5.63141303653e-09	0.83438441378	28
Lung	-5.47778287441e-09	5.46380408316e-09	0.841963020681	28
A15.382.490.555.567.Lymphocytes	-5.40121136999e-09	5.33169328679e-09	0.844479149975	28
A11.329.228.Fibroblasts	-5.71643969334e-09	5.43120626141e-09	0.853718909489	28
A08.186.211.730.317.357.352.435.Hypothalamo.Hypophyseal.System	-6.14264094395e-09	5.78518865546e-09	0.855833914946	28
A15.145.229.Blood.Cells	-6.39721855503e-09	5.86540935825e-09	0.862290661809	28
A03.556.249.249.356.Colon	-7.00676740545e-09	6.19593869472e-09	0.870943946362	28
A05.360.319.887.Vulva	-7.25918788872e-09	6.40308762656e-09	0.871540039169	28
A07.541.358.100.Atrial.Appendage	-6.2202577989e-09	5.32697578486e-09	0.878534138748	28
Spleen	-6.95143649367e-09	5.91729518626e-09	0.879955803144	28
A15.145.229.637.555.567.562.725.Plasma.Cells	-6.68824916541e-09	5.65351623475e-09	0.881600314376	28
A08.186.211.132.810.428.200.Cerebellum	-5.80277979775e-09	4.87821324851e-09	0.882884364829	28
A11.329.372.600.Macrophages..Alveolar	-7.04322499871e-09	5.79936328771e-09	0.887718228347	28
A11.872.040.Adult.Stem.Cells	-6.80615280658e-09	5.49267797174e-09	0.892351683083	28
A15.145.229.188.Blood.Platelets	-6.73551578235e-09	5.38529743042e-09	0.894482236333	28
A08.186.211.865.428.Metencephalon	-6.06665575666e-09	4.83099158165e-09	0.89540187043	28
A11.872.378.590.817.Megakaryocyte.Erythroid.Progenitor.Cells	-6.30558578917e-09	5.0100648066e-09	0.895909627159	28
A07.541.358.Heart.Atria	-6.84666995483e-09	5.2487171758e-09	0.903959279478	28
A03.556.249.249.209.Cecum	-7.40291220227e-09	5.58520020572e-09	0.907489283554	28
A10.615.284.473.Chorion	-7.39558448185e-09	5.48126784072e-09	0.911371187064	28
A03.734.414.Islets.of.Langerhans	-8.16982694029e-09	5.92401485561e-09	0.916068507794	28
A11.436.397.Keratinocytes	-8.74454819425e-09	6.23339727312e-09	0.919669855169	28
A03.620.Liver	-7.7135443445e-09	5.31716347407e-09	0.926566597167	28
A03.556.Gastrointestinal.Tract	-9.03099126711e-09	5.86696724305e-09	0.938133809813	28
A03.556.124.Intestines	-9.21127856919e-09	5.91582138591e-09	0.940271673398	28
A05.810.453.324.Kidney.Cortex	-7.78648038035e-09	4.96540512196e-09	0.94157647304	28
A05.360.444.Genitalia..Male	-8.59194922668e-09	5.34481102801e-09	0.946031028754	28
A11.329.629.Osteoblasts	-9.6359144295e-09	5.53111225778e-09	0.95925711611	28
A14.549.167.Dentition	-9.66118755745e-09	5.42751438508e-09	0.962465215029	28
Stomach	-1.15167917732e-08	5.90928802446e-09	0.974348138546	28
A11.436.294.064.Glucagon.Secreting.Cells	-1.10685564272e-08	5.62296928261e-09	0.975492088573	28
A06.407.312.782.Testis	-9.19137561681e-09	4.56224388092e-09	0.978029918553	28
A10.336.707.Prostate	-1.10142624232e-08	5.17861728487e-09	0.983284690776	28
Adrenal_Gland	-1.11300581059e-08	4.97100146655e-09	0.987421949134	28
A03.556.500.760.464.Parotid.Gland	-1.42499601824e-08	6.21244153517e-09	0.989098366024	28
A03.556.124.369.Intestinal.Mucosa	-1.33511003358e-08	5.77783275211e-09	0.989576538457	28
A03.556.500.760.Salivary.Glands	-1.58066213987e-08	6.04160878194e-09	0.995555493491	28
A14.549.Mouth	1.13361978243e-08	5.3807937563e-09	0.0175679308473	29
A10.690.Muscles	1.06398475319e-08	5.9095268045e-09	0.0358942720146	29
A09.371.Eye	8.05482302077e-09	5.2436485557e-09	0.062255654402	29
A03.556.875.500.Esophagus	8.76643658714e-09	5.87497286038e-09	0.0678277756779	29
A03.556.875.Upper.Gastrointestinal.Tract	9.41361223837e-09	6.64463781773e-09	0.0782819425544	29
Ovary	6.0242385343e-09	4.48321621322e-09	0.0895176249352	29
A11.872.378.590.635.Granulocyte.Macrophage.Progenitor.Cells	7.28840196219e-09	5.618582211e-09	0.0972818908199	29
A03.556.875.875.Stomach	9.14360491392e-09	7.14983244919e-09	0.100473914601	29
A14.549.167.Dentition	6.8428533776e-09	5.38051020647e-09	0.101724720182	29
A08.186.211.653.Mesencephalon	6.53586207328e-09	5.23227194648e-09	0.105806171219	29
A10.615.550.599.Mouth.Mucosa	7.1174157814e-09	5.75292696709e-09	0.108009822842	29
A11.627.624.249.Monocyte.Macrophage.Precursor.Cells	7.58712231922e-09	6.22117244424e-09	0.11131496708	29
A14.549.167.646.Periodontium	6.84334441019e-09	5.73517962088e-09	0.116391155113	29
Heart_Atrial_Appendage	5.53142613141e-09	4.89464869339e-09	0.129217748869	29
A11.436.275.Endothelial.Cells	6.3667096681e-09	5.77747596034e-09	0.135233425881	29
A02.633.567.850.Quadriceps.Muscle	5.05507476359e-09	5.18409564381e-09	0.164752310721	29
A08.186.211.730.317.Diencephalon	5.73535397538e-09	5.92335050839e-09	0.166456820865	29
A15.145.846.Serum	6.2446977349e-09	6.45136735169e-09	0.166530927352	29
A07.541.Heart	5.11111684557e-09	5.38883738399e-09	0.171446712528	29
