                                                                               p1                                             p2       rg      se        z       p h2_obs h2_obs_se h2_int h2_int_se gcov_int gcov_int_se
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par46.sumstats.gz  -0.8354   1.578  -0.5295  0.5965  782.6     249.8  121.9     40.74    -2.92       1.524
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par47.sumstats.gz   -1.793   3.487  -0.5142  0.6071  244.8     159.5  347.5     40.95   -4.428        1.77
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par48.sumstats.gz  -0.9914   1.699  -0.5834  0.5596    585     201.9    508     43.83   -5.416       2.029
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par49.sumstats.gz  -0.5366  0.6618  -0.8108  0.4175  436.7        85  325.9     25.46   -5.141       1.697
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par50.sumstats.gz   -1.204   1.991  -0.6046  0.5454  515.2     139.9  497.1      32.3   -6.513       2.049
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par51.sumstats.gz  -0.9472    1.58  -0.5996  0.5488   1076       444  529.5     71.65   -6.447       2.167
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par52.sumstats.gz   -0.582  0.7572  -0.7686  0.4421  593.1     80.98    201     16.79   -4.721       1.398
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par53.sumstats.gz  -0.2911  0.4386  -0.6637  0.5069   3403      1392  498.3     208.6   -9.483       2.514
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par54.sumstats.gz  -0.5523  0.8431   -0.655  0.5125   1846     770.4  708.7     148.4   -9.152       2.606
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par55.sumstats.gz   -1.103   1.887  -0.5846  0.5588  516.4     193.3  317.3     38.55   -4.841       1.495
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par56.sumstats.gz  -0.3449  0.7521  -0.4585  0.6466  196.4     168.4  481.6     73.53   -5.827       2.041
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par57.sumstats.gz  -0.1415  0.8184  -0.1729  0.8627  436.6       149  677.4     64.19    -7.65        2.44
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par58.sumstats.gz   -0.596  0.7203  -0.8274   0.408  172.7     89.54  294.5     32.89   -5.061       1.939
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par59.sumstats.gz  -0.5719  0.7814  -0.7319  0.4642  344.4     109.6  352.9     35.28   -5.327       1.631
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par60.sumstats.gz   -1.107   1.817  -0.6095  0.5422  930.7     265.7   1192     79.16   -9.144       3.234
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par61.sumstats.gz   -1.096    1.93   -0.568    0.57    799     238.1  749.9     57.78   -6.704       2.502
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par62.sumstats.gz   -1.922    4.33  -0.4438  0.6572  88.93       181  827.7     56.51    -7.96       2.753
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par63.sumstats.gz -0.01832   1.672 -0.01095  0.9913  192.5     222.6   1037        63   -9.794       2.598
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par03.sumstats.gz -0.3148  0.1632  -1.929    0.05369   9661      2203   6546     514.6   -46.28       6.347
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par04.sumstats.gz -0.6403  0.1758  -3.642  0.0002709   1368     534.2   1721     137.4   -19.53       3.083
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par05.sumstats.gz -0.8726  0.3947  -2.211    0.02706   1004     827.6   3704     265.2   -28.66       4.584
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par06.sumstats.gz -0.2718  0.1417  -1.918    0.05513   6417      1546   2732     277.4   -30.92       4.461
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par07.sumstats.gz -0.3514  0.2263  -1.553     0.1204   3426     971.4   4768     327.8   -37.24       5.203
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par08.sumstats.gz    -1.1  0.4059  -2.709   0.006741  300.2     315.8  690.8     111.9    -10.3       1.947
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par09.sumstats.gz -0.4564  0.1467  -3.112   0.001861   1121     347.1  925.1      70.1   -14.52       2.286
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par10.sumstats.gz -0.5876  0.2137   -2.75   0.005966  887.9     350.6  991.6     120.6   -15.22       2.592
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par11.sumstats.gz -0.7862  0.5239  -1.501     0.1334  770.1     967.9   3341     322.7   -27.09       4.431
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par12.sumstats.gz -0.4278  0.1406  -3.043   0.002342   2033     498.4   1215     113.3   -18.51       2.746
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par13.sumstats.gz -0.1428  0.1236  -1.155     0.2482   5717      1579   1298     242.5   -24.12       3.369
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par14.sumstats.gz -0.2742  0.2575  -1.065      0.287  986.3     395.8   1824       158   -22.43       3.037
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par15.sumstats.gz -0.5123  0.2429  -2.109    0.03497   1900     736.6   3641     247.5   -30.95       4.576
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par16.sumstats.gz      NA      NA      NA         NA -65.75     90.36  193.8     39.18   -5.294      0.9425
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par17.sumstats.gz  -1.023  0.2656  -3.851  0.0001176  246.7     182.4  414.7     53.71   -7.968        1.59
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par18.sumstats.gz -0.5654  0.1519  -3.722  0.0001973  662.3     343.2  597.1     68.19   -11.32       1.958
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par19.sumstats.gz -0.4246  0.2364  -1.796    0.07249  308.3     162.2  614.3     50.81   -11.14       1.655
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par20.sumstats.gz -0.3712  0.1577  -2.354    0.01856  733.7     218.4  268.7     43.06   -8.486       1.591
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par21.sumstats.gz  -0.568  0.2611  -2.176    0.02957  444.8     241.3  648.6      92.9   -11.66       1.951
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par22.sumstats.gz      NA      NA      NA         NA -826.9     629.1   2684     256.1   -24.36       3.855
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par23.sumstats.gz -0.4921  0.1689  -2.913   0.003585   1152       506  582.7     88.67   -10.89        1.98
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par24.sumstats.gz  -0.498  0.1709  -2.913   0.003577  994.1       272  856.9     64.01   -14.38       2.212
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par25.sumstats.gz -0.4029   0.145  -2.779   0.005461   1220     401.4  732.9     75.75   -14.65       2.156
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par26.sumstats.gz -0.1196    0.11  -1.087     0.2772   4354      1280  704.1       180   -18.84       2.613
