                                                                               p1                                                                                p2      rg      se        z            p  h2_obs  h2_obs_se  h2_int  h2_int_se  gcov_int  gcov_int_se
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par20.sumstats.gz  0.8208  0.0493  16.6487   3.0944e-62  0.1785     0.0281  1.0007     0.0063    0.3246       0.0050
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par21.sumstats.gz  0.8910  0.0868  10.2681   9.8143e-25  0.0827     0.0246  0.9944     0.0061    0.3727       0.0054
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par22.sumstats.gz  0.8345  0.0494  16.8805   6.2586e-64  0.1848     0.0249  1.0109     0.0061    0.2577       0.0045
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par23.sumstats.gz  1.1507  0.2155   5.3391   9.3424e-08  0.0487     0.0251  1.0022     0.0063    0.3266       0.0050
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par24.sumstats.gz  0.6068  0.0615   9.8702   5.6058e-23  0.1397     0.0273  0.9930     0.0064    0.1397       0.0038
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par25.sumstats.gz  0.8763  0.1763   4.9702   6.6891e-07  0.0504     0.0231  0.9946     0.0061    0.1345       0.0035
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par26.sumstats.gz  1.3109  1.4483   0.9051   3.6541e-01  0.0097     0.0202  1.0004     0.0054    0.1389       0.0034
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par27.sumstats.gz  1.3338  1.0499   1.2704   2.0393e-01  0.0141     0.0240  1.0064     0.0061    0.1446       0.0039
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par28.sumstats.gz  0.6445  0.0733   8.7961   1.4170e-18  0.0995     0.0247  0.9945     0.0064    0.1488       0.0039
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par29.sumstats.gz  0.7894  0.1191   6.6273   3.4188e-11  0.0652     0.0233  1.0019     0.0065    0.1832       0.0037
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par30.sumstats.gz  0.9252  0.5197   1.7801   7.5065e-02  0.0181     0.0224  0.9977     0.0061    0.1471       0.0037
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par31.sumstats.gz  1.2022  0.4338   2.7715   5.5803e-03  0.0251     0.0203  1.0129     0.0061    0.1544       0.0040
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par04.sumstats.gz  0.6483  0.0559  11.6066  3.8127e-31  0.1951     0.0262  0.9914     0.0061    0.1605       0.0034
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par05.sumstats.gz  0.6433  0.0552  11.6444  2.4503e-31  0.2174     0.0319  0.9980     0.0066    0.1449       0.0039
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par06.sumstats.gz  0.9459  0.0505  18.7341  2.6081e-78  0.1028     0.0229  0.9930     0.0057    0.6500       0.0050
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par07.sumstats.gz  0.8449  0.0608  13.8907  7.2105e-44  0.1400     0.0248  0.9942     0.0063    0.4742       0.0053
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par08.sumstats.gz  0.5388  0.0638   8.4490  2.9371e-17  0.1826     0.0249  0.9940     0.0059    0.1511       0.0033
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par09.sumstats.gz  0.6987  0.1075   6.4969  8.1982e-11  0.0812     0.0242  0.9995     0.0062    0.1700       0.0036
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par10.sumstats.gz  0.5745  0.0624   9.2004  3.5671e-20  0.1718     0.0295  0.9954     0.0065    0.1399       0.0038
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par11.sumstats.gz  0.6871  0.0656  10.4658  1.2398e-25  0.1466     0.0264  1.0042     0.0061    0.1702       0.0037
