Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.down	Brain_Spinal_cord_cervical_c-1	5136	14	0.0395751088485027	1	ENSG00000084693:ENSG00000185324:ENSG00000178773:ENSG00000100592:ENSG00000165617:ENSG00000138080:ENSG00000044524:ENSG00000165660:ENSG00000119514:ENSG00000123243:ENSG00000120071:ENSG00000258839:ENSG00000158792:ENSG00000119777
DEG.down	Brain_Substantia_nigra	7223	15	0.211631323097447	1	ENSG00000084693:ENSG00000185324:ENSG00000100592:ENSG00000165617:ENSG00000138080:ENSG00000044524:ENSG00000165660:ENSG00000119514:ENSG00000120071:ENSG00000258839:ENSG00000138073:ENSG00000158792:ENSG00000167523:ENSG00000119777:ENSG00000158805
DEG.down	Breast_Mammary_Tissue	1007	3	0.237709243458838	1	ENSG00000003249:ENSG00000187741:ENSG00000107902
DEG.down	Cells_Cultured_fibroblasts	2173	12	0.000198709698723991	0.0107303237310955	ENSG00000100592:ENSG00000165617:ENSG00000044524:ENSG00000189319:ENSG00000119514:ENSG00000107902:ENSG00000084764:ENSG00000258839:ENSG00000204991:ENSG00000075399:ENSG00000108379:ENSG00000158805
DEG.down	Cells_EBV-transformed_lymphocytes	2398	9	0.0171417509885247	0.925654553380332	ENSG00000165617:ENSG00000140995:ENSG00000138080:ENSG00000119514:ENSG00000141013:ENSG00000107902:ENSG00000084764:ENSG00000258839:ENSG00000075399
DEG.down	Cervix_Ectocervix	2	0	1	1	
DEG.down	Cervix_Endocervix	5	0	1	1	
DEG.down	Colon_Sigmoid	1685	4	0.311688933883883	1	ENSG00000143994:ENSG00000003249:ENSG00000015413:ENSG00000108379
DEG.down	Colon_Transverse	1588	4	0.274852491882882	1	ENSG00000138028:ENSG00000178773:ENSG00000003249:ENSG00000186868
DEG.down	Esophagus_Gastroesophageal_Junction	1570	6	0.0464467664701472	1	ENSG00000178773:ENSG00000003249:ENSG00000186868:ENSG00000073969:ENSG00000204991:ENSG00000108379
DEG.down	Esophagus_Mucosa	3605	7	0.399832478503789	1	ENSG00000138028:ENSG00000165617:ENSG00000044524:ENSG00000123243:ENSG00000138030:ENSG00000084764:ENSG00000258839
DEG.down	Esophagus_Muscularis	1775	6	0.0750699072065519	1	ENSG00000178773:ENSG00000003249:ENSG00000186868:ENSG00000073969:ENSG00000204991:ENSG00000108379
DEG.down	Fallopian_Tube	1	0	1	1	
DEG.down	Heart_Atrial_Appendage	8488	22	0.0140686953921372	0.759709551175408	ENSG00000084693:ENSG00000185324:ENSG00000177946:ENSG00000138028:ENSG00000003249:ENSG00000140995:ENSG00000113391:ENSG00000165660:ENSG00000119514:ENSG00000141013:ENSG00000123243:ENSG00000120071:ENSG00000138030:ENSG00000107902:ENSG00000186868:ENSG00000258839:ENSG00000203791:ENSG00000073969:ENSG00000158792:ENSG00000167523:ENSG00000075399:ENSG00000158805
DEG.down	Heart_Left_Ventricle	9531	26	0.00277230452381645	0.149704444286088	ENSG00000084693:ENSG00000185324:ENSG00000177946:ENSG00000131165:ENSG00000100592:ENSG00000165617:ENSG00000003249:ENSG00000140995:ENSG00000138080:ENSG00000044524:ENSG00000113391:ENSG00000165660:ENSG00000189319:ENSG00000141013:ENSG00000123243:ENSG00000120071:ENSG00000107902:ENSG00000186868:ENSG00000258839:ENSG00000203791:ENSG00000073969:ENSG00000158792:ENSG00000141002:ENSG00000119777:ENSG00000075399:ENSG00000158805
DEG.down	Kidney_Cortex	5567	11	0.323808048220426	1	ENSG00000138028:ENSG00000100592:ENSG00000165617:ENSG00000113391:ENSG00000165660:ENSG00000189319:ENSG00000119514:ENSG00000120071:ENSG00000073969:ENSG00000108379:ENSG00000158805
DEG.down	Kidney_Medulla	0	0	1	1	
DEG.down	Liver	8059	20	0.0322168755243351	1	ENSG00000084693:ENSG00000177946:ENSG00000100592:ENSG00000165617:ENSG00000003249:ENSG00000140995:ENSG00000138080:ENSG00000044524:ENSG00000113391:ENSG00000165660:ENSG00000189319:ENSG00000141013:ENSG00000120071:ENSG00000084764:ENSG00000258839:ENSG00000203791:ENSG00000073969:ENSG00000167523:ENSG00000141002:ENSG00000158805
DEG.down	Lung	911	6	0.00404778776631664	0.218580539381098	ENSG00000138028:ENSG00000003249:ENSG00000015413:ENSG00000107902:ENSG00000186868:ENSG00000108379
DEG.down	Minor_Salivary_Gland	1870	4	0.383101578180246	1	ENSG00000165617:ENSG00000123243:ENSG00000138030:ENSG00000107902
DEG.down	Muscle_Skeletal	6908	19	0.0134774368740105	0.727781591196565	ENSG00000084693:ENSG00000185324:ENSG00000138028:ENSG00000100592:ENSG00000165617:ENSG00000140995:ENSG00000138080:ENSG00000113391:ENSG00000141013:ENSG00000123243:ENSG00000120071:ENSG00000138030:ENSG00000107902:ENSG00000258839:ENSG00000203791:ENSG00000158792:ENSG00000141002:ENSG00000075399:ENSG00000158805
DEG.down	Nerve_Tibial	909	6	0.00400475650229108	0.216256851123719	ENSG00000178773:ENSG00000003249:ENSG00000187741:ENSG00000186868:ENSG00000204991:ENSG00000108379
DEG.down	Ovary	1539	6	0.0428392353409004	1	ENSG00000178773:ENSG00000003249:ENSG00000107902:ENSG00000186868:ENSG00000073969:ENSG00000108379
DEG.down	Pancreas	9668	23	0.0318849228148012	1	ENSG00000084693:ENSG00000177946:ENSG00000131165:ENSG00000100592:ENSG00000165617:ENSG00000140995:ENSG00000138080:ENSG00000044524:ENSG00000113391:ENSG00000165660:ENSG00000189319:ENSG00000123243:ENSG00000120071:ENSG00000107902:ENSG00000084764:ENSG00000258839:ENSG00000203791:ENSG00000073969:ENSG00000167523:ENSG00000204991:ENSG00000141002:ENSG00000075399:ENSG00000158805
DEG.down	Pituitary	1937	4	0.408956156851229	1	ENSG00000100592:ENSG00000044524:ENSG00000123243:ENSG00000138030
DEG.down	Prostate	744	3	0.128412900772772	1	ENSG00000138028:ENSG00000138030:ENSG00000108379
DEG.down	Skin_Not_Sun_Exposed_Suprapubic	2708	12	0.00143493339372773	0.0774864032612974	ENSG00000138028:ENSG00000178773:ENSG00000120088:ENSG00000165617:ENSG00000003249:ENSG00000138080:ENSG00000044524:ENSG00000119514:ENSG00000141013:ENSG00000123243:ENSG00000107902:ENSG00000186868
DEG.down	Skin_Sun_Exposed_Lower_leg	2490	7	0.120157984815381	1	ENSG00000138028:ENSG00000178773:ENSG00000165617:ENSG00000003249:ENSG00000044524:ENSG00000107902:ENSG00000204991
DEG.down	Small_Intestine_Terminal_Ileum	1384	5	0.0810928624514196	1	ENSG00000138028:ENSG00000003249:ENSG00000141013:ENSG00000084764:ENSG00000186868
DEG.down	Spleen	2075	8	0.0212576797925643	1	ENSG00000143994:ENSG00000178773:ENSG00000003249:ENSG00000119514:ENSG00000141013:ENSG00000123243:ENSG00000204991:ENSG00000108379
DEG.down	Stomach	2622	6	0.273714994103723	1	ENSG00000100592:ENSG00000015413:ENSG00000189319:ENSG00000186868:ENSG00000258839:ENSG00000075399
DEG.down	Testis	2951	4	0.740845214033454	1	ENSG00000003249:ENSG00000140995:ENSG00000044524:ENSG00000113391
DEG.down	Thyroid	1042	4	0.0965226575035013	1	ENSG00000138028:ENSG00000015413:ENSG00000138030:ENSG00000186868
DEG.down	Uterus	846	6	0.00281561580223093	0.15204325332047	ENSG00000178773:ENSG00000003249:ENSG00000187741:ENSG00000119514:ENSG00000186868:ENSG00000108379
DEG.down	Vagina	649	2	0.296501465147098	1	ENSG00000138028:ENSG00000186868
DEG.down	Whole_Blood	6940	14	0.25981242733054	1	ENSG00000084693:ENSG00000185324:ENSG00000177946:ENSG00000113391:ENSG00000165660:ENSG00000119514:ENSG00000120071:ENSG00000138030:ENSG00000107902:ENSG00000084764:ENSG00000258839:ENSG00000203791:ENSG00000073969:ENSG00000119777
DEG.twoside	Adipose_Subcutaneous	3668	6	0.588440056081942	1	ENSG00000003249:ENSG00000187741:ENSG00000123243:ENSG00000107902:ENSG00000204991:ENSG00000108379
DEG.twoside	Adipose_Visceral_Omentum	3435	9	0.115436865685487	1	ENSG00000003249:ENSG00000187741:ENSG00000119514:ENSG00000123243:ENSG00000138030:ENSG00000107902:ENSG00000186868:ENSG00000258839:ENSG00000204991
DEG.twoside	Adrenal_Gland	5041	9	0.474235579549127	1	ENSG00000100592:ENSG00000165617:ENSG00000187741:ENSG00000119514:ENSG00000084764:ENSG00000186868:ENSG00000258839:ENSG00000167523:ENSG00000204991
DEG.twoside	Artery_Aorta	4241	6	0.731538837536621	1	ENSG00000100592:ENSG00000165617:ENSG00000138080:ENSG00000189319:ENSG00000123243:ENSG00000186868
DEG.twoside	Artery_Coronary	3006	9	0.0601926058295708	1	ENSG00000143994:ENSG00000100592:ENSG00000165617:ENSG00000003249:ENSG00000015413:ENSG00000138080:ENSG00000044524:ENSG00000119514:ENSG00000186868
DEG.twoside	Artery_Tibial	4761	13	0.0469567204318213	1	ENSG00000177946:ENSG00000138028:ENSG00000165617:ENSG00000003249:ENSG00000138080:ENSG00000044524:ENSG00000113391:ENSG00000189319:ENSG00000119514:ENSG00000123243:ENSG00000186868:ENSG00000258839:ENSG00000075399
DEG.twoside	Bladder	948	5	0.0209007733365129	1	ENSG00000084693:ENSG00000138080:ENSG00000044524:ENSG00000119514:ENSG00000123243
DEG.twoside	Brain_Amygdala	9576	22	0.0530216729813345	1	ENSG00000084693:ENSG00000185324:ENSG00000138028:ENSG00000178773:ENSG00000120088:ENSG00000100592:ENSG00000165617:ENSG00000003249:ENSG00000157851:ENSG00000138080:ENSG00000165660:ENSG00000141013:ENSG00000123243:ENSG00000120071:ENSG00000107902:ENSG00000186868:ENSG00000258839:ENSG00000073969:ENSG00000138073:ENSG00000141002:ENSG00000119777:ENSG00000158805
DEG.twoside	Brain_Anterior_cingulate_cortex_BA24	9101	22	0.0310614075065039	1	ENSG00000084693:ENSG00000138028:ENSG00000178773:ENSG00000120088:ENSG00000100592:ENSG00000165617:ENSG00000003249:ENSG00000157851:ENSG00000138080:ENSG00000044524:ENSG00000165660:ENSG00000189319:ENSG00000123243:ENSG00000120071:ENSG00000107902:ENSG00000186868:ENSG00000258839:ENSG00000073969:ENSG00000138073:ENSG00000204991:ENSG00000119777:ENSG00000158805
DEG.twoside	Brain_Caudate_basal_ganglia	9143	18	0.249017842342143	1	ENSG00000084693:ENSG00000185324:ENSG00000138028:ENSG00000100592:ENSG00000165617:ENSG00000003249:ENSG00000157851:ENSG00000138080:ENSG00000165660:ENSG00000120071:ENSG00000107902:ENSG00000186868:ENSG00000258839:ENSG00000073969:ENSG00000138073:ENSG00000204991:ENSG00000119777:ENSG00000158805
DEG.twoside	Brain_Cerebellar_Hemisphere	8981	23	0.0133520068682834	0.721008370887304	ENSG00000221819:ENSG00000138028:ENSG00000120088:ENSG00000165617:ENSG00000003249:ENSG00000140995:ENSG00000157851:ENSG00000138080:ENSG00000113391:ENSG00000189319:ENSG00000119514:ENSG00000141013:ENSG00000123243:ENSG00000120071:ENSG00000138030:ENSG00000186868:ENSG00000258839:ENSG00000203791:ENSG00000073969:ENSG00000204991:ENSG00000256762:ENSG00000075399:ENSG00000158805
DEG.twoside	Brain_Cerebellum	8976	24	0.00614803290031824	0.331993776617185	ENSG00000221819:ENSG00000138028:ENSG00000120088:ENSG00000165617:ENSG00000003249:ENSG00000140995:ENSG00000157851:ENSG00000138080:ENSG00000113391:ENSG00000189319:ENSG00000187741:ENSG00000119514:ENSG00000141013:ENSG00000123243:ENSG00000120071:ENSG00000138030:ENSG00000107902:ENSG00000186868:ENSG00000258839:ENSG00000073969:ENSG00000204991:ENSG00000256762:ENSG00000075399:ENSG00000158805
DEG.twoside	Brain_Cortex	8420	21	0.0260157371291773	1	ENSG00000138028:ENSG00000178773:ENSG00000120088:ENSG00000100592:ENSG00000165617:ENSG00000003249:ENSG00000157851:ENSG00000138080:ENSG00000044524:ENSG00000119514:ENSG00000123243:ENSG00000120071:ENSG00000138030:ENSG00000107902:ENSG00000186868:ENSG00000258839:ENSG00000073969:ENSG00000158792:ENSG00000204991:ENSG00000119777:ENSG00000075399
DEG.twoside	Brain_Frontal_Cortex_BA9	8222	20	0.0392732393397783	1	ENSG00000138028:ENSG00000178773:ENSG00000120088:ENSG00000165617:ENSG00000003249:ENSG00000157851:ENSG00000138080:ENSG00000044524:ENSG00000119514:ENSG00000123243:ENSG00000120071:ENSG00000138030:ENSG00000107902:ENSG00000186868:ENSG00000258839:ENSG00000073969:ENSG00000204991:ENSG00000119777:ENSG00000075399:ENSG00000158805
DEG.twoside	Brain_Hippocampus	9541	24	0.0137667265000647	0.743403231003491	ENSG00000084693:ENSG00000185324:ENSG00000138028:ENSG00000178773:ENSG00000120088:ENSG00000100592:ENSG00000165617:ENSG00000003249:ENSG00000157851:ENSG00000138080:ENSG00000165660:ENSG00000119514:ENSG00000141013:ENSG00000123243:ENSG00000120071:ENSG00000107902:ENSG00000186868:ENSG00000258839:ENSG00000203791:ENSG00000073969:ENSG00000138073:ENSG00000141002:ENSG00000119777:ENSG00000158805
DEG.twoside	Brain_Hypothalamus	8506	20	0.0543209564060638	1	ENSG00000084693:ENSG00000138028:ENSG00000178773:ENSG00000100592:ENSG00000165617:ENSG00000003249:ENSG00000157851:ENSG00000138080:ENSG00000044524:ENSG00000119514:ENSG00000123243:ENSG00000120071:ENSG00000107902:ENSG00000186868:ENSG00000258839:ENSG00000073969:ENSG00000204991:ENSG00000119777:ENSG00000108379:ENSG00000158805
DEG.twoside	Brain_Nucleus_accumbens_basal_ganglia	8939	19	0.140153813180129	1	ENSG00000084693:ENSG00000138028:ENSG00000100592:ENSG00000165617:ENSG00000003249:ENSG00000157851:ENSG00000138080:ENSG00000165660:ENSG00000189319:ENSG00000123243:ENSG00000120071:ENSG00000107902:ENSG00000186868:ENSG00000258839:ENSG00000073969:ENSG00000138073:ENSG00000204991:ENSG00000119777:ENSG00000158805
DEG.twoside	Brain_Putamen_basal_ganglia	9598	20	0.151812727856267	1	ENSG00000084693:ENSG00000185324:ENSG00000138028:ENSG00000100592:ENSG00000165617:ENSG00000003249:ENSG00000157851:ENSG00000138080:ENSG00000165660:ENSG00000141013:ENSG00000120071:ENSG00000107902:ENSG00000186868:ENSG00000258839:ENSG00000073969:ENSG00000138073:ENSG00000167523:ENSG00000119777:ENSG00000108379:ENSG00000158805
