                                                                                            p1                                                                                  p2      rg      se       z       p  h2_obs  h2_obs_se  h2_int  h2_int_se  gcov_int  gcov_int_se
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par06.sumstats.gz                            ../SAMPLE_DATA/OTHER_TRAITS_GWAS/ADHD/munged.sumstats.gz  0.0966  0.0686  1.4093  0.1588  0.2372     0.0155  1.0318     0.0105   -0.0180       0.0046
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par06.sumstats.gz                             ../SAMPLE_DATA/OTHER_TRAITS_GWAS/ASD/munged.sumstats.gz  0.1831  0.0922  1.9850  0.0471  0.1939     0.0168  1.0086     0.0096   -0.0255       0.0047
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par06.sumstats.gz              ../SAMPLE_DATA/OTHER_TRAITS_GWAS/BipolarDisorderAll/munged.sumstats.gz  0.0499  0.0455  1.0966  0.2728  0.0699     0.0029  1.0329     0.0112   -0.0251       0.0042
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par06.sumstats.gz                      ../SAMPLE_DATA/OTHER_TRAITS_GWAS/Handedness/munged.sumstats.gz  0.0068  0.0989  0.0683  0.9455  0.0126     0.0016  1.0325     0.0073    0.0064       0.0037
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par06.sumstats.gz                    ../SAMPLE_DATA/OTHER_TRAITS_GWAS/Intelligence/munged.sumstats.gz  0.0485  0.0564  0.8601  0.3897  1.5194     0.0831  1.0097     0.0082   -0.0025       0.0038
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par06.sumstats.gz  ../SAMPLE_DATA/OTHER_TRAITS_GWAS/LanguageFunctionalConnectivity/munged.sumstats.gz  0.1289  0.0582  2.2155  0.0267  0.3863     0.0261  1.0106     0.0076   -0.0871       0.0037
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par06.sumstats.gz                             ../SAMPLE_DATA/OTHER_TRAITS_GWAS/OCD/munged.sumstats.gz -0.1039  0.1085 -0.9570  0.3385  0.3131     0.0489  0.9950     0.0067   -0.0084       0.0038
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par06.sumstats.gz                   ../SAMPLE_DATA/OTHER_TRAITS_GWAS/Schizophrenia/munged.sumstats.gz  0.0424  0.0453  0.9352  0.3497  0.4414     0.0179  1.0412     0.0122   -0.0231       0.0047
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par07.sumstats.gz                            ../SAMPLE_DATA/OTHER_TRAITS_GWAS/ADHD/munged.sumstats.gz  0.0896  0.0545  1.6450  9.9975e-02  0.2372     0.0155  1.0318     0.0105   -0.0244       0.0047
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par07.sumstats.gz                             ../SAMPLE_DATA/OTHER_TRAITS_GWAS/ASD/munged.sumstats.gz  0.2539  0.0607  4.1853  2.8480e-05  0.1939     0.0168  1.0086     0.0096   -0.0357       0.0046
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par07.sumstats.gz              ../SAMPLE_DATA/OTHER_TRAITS_GWAS/BipolarDisorderAll/munged.sumstats.gz  0.0338  0.0375  0.9002  3.6800e-01  0.0699     0.0029  1.0329     0.0112   -0.0253       0.0046
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par07.sumstats.gz                      ../SAMPLE_DATA/OTHER_TRAITS_GWAS/Handedness/munged.sumstats.gz  0.0673  0.0798  0.8438  3.9877e-01  0.0126     0.0016  1.0325     0.0073   -0.0005       0.0033
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par07.sumstats.gz                    ../SAMPLE_DATA/OTHER_TRAITS_GWAS/Intelligence/munged.sumstats.gz  0.0072  0.0450  0.1607  8.7233e-01  1.5194     0.0831  1.0097     0.0082    0.0051       0.0040
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par07.sumstats.gz  ../SAMPLE_DATA/OTHER_TRAITS_GWAS/LanguageFunctionalConnectivity/munged.sumstats.gz  0.1174  0.0421  2.7895  5.2793e-03  0.3863     0.0261  1.0106     0.0076   -0.1050       0.0034
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par07.sumstats.gz                             ../SAMPLE_DATA/OTHER_TRAITS_GWAS/OCD/munged.sumstats.gz  0.0816  0.0861  0.9469  3.4371e-01  0.3131     0.0489  0.9950     0.0067   -0.0107       0.0040
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par07.sumstats.gz                   ../SAMPLE_DATA/OTHER_TRAITS_GWAS/Schizophrenia/munged.sumstats.gz  0.0968  0.0348  2.7860  5.3367e-03  0.4414     0.0179  1.0412     0.0122   -0.0343       0.0050
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par08.sumstats.gz                            ../SAMPLE_DATA/OTHER_TRAITS_GWAS/ADHD/munged.sumstats.gz  0.0341  0.0448  0.7627  0.4456  0.2372     0.0155  1.0318     0.0105   -0.0230       0.0050
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par08.sumstats.gz                             ../SAMPLE_DATA/OTHER_TRAITS_GWAS/ASD/munged.sumstats.gz  0.0399  0.0517  0.7733  0.4394  0.1939     0.0168  1.0086     0.0096   -0.0237       0.0047
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par08.sumstats.gz              ../SAMPLE_DATA/OTHER_TRAITS_GWAS/BipolarDisorderAll/munged.sumstats.gz  0.0750  0.0303  2.4763  0.0133  0.0699     0.0029  1.0329     0.0112   -0.0335       0.0048
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par08.sumstats.gz                      ../SAMPLE_DATA/OTHER_TRAITS_GWAS/Handedness/munged.sumstats.gz  0.0514  0.0624  0.8246  0.4096  0.0126     0.0016  1.0325     0.0073   -0.0004       0.0040
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par08.sumstats.gz                    ../SAMPLE_DATA/OTHER_TRAITS_GWAS/Intelligence/munged.sumstats.gz  0.0622  0.0372  1.6717  0.0946  1.5194     0.0831  1.0097     0.0082    0.0021       0.0045
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par08.sumstats.gz  ../SAMPLE_DATA/OTHER_TRAITS_GWAS/LanguageFunctionalConnectivity/munged.sumstats.gz  0.0768  0.0381  2.0160  0.0438  0.3863     0.0261  1.0106     0.0076   -0.1114       0.0038
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par08.sumstats.gz                             ../SAMPLE_DATA/OTHER_TRAITS_GWAS/OCD/munged.sumstats.gz -0.0027  0.0738 -0.0372  0.9703  0.3131     0.0489  0.9950     0.0067   -0.0085       0.0039
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par08.sumstats.gz                   ../SAMPLE_DATA/OTHER_TRAITS_GWAS/Schizophrenia/munged.sumstats.gz  0.0615  0.0285  2.1588  0.0309  0.4414     0.0179  1.0412     0.0122   -0.0376       0.0047
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par09.sumstats.gz                            ../SAMPLE_DATA/OTHER_TRAITS_GWAS/ADHD/munged.sumstats.gz  0.1203  0.0688  1.7482  0.0804  0.2372     0.0155  1.0318     0.0105   -0.0284       0.0051
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par09.sumstats.gz                             ../SAMPLE_DATA/OTHER_TRAITS_GWAS/ASD/munged.sumstats.gz  0.2262  0.0713  3.1721  0.0015  0.1939     0.0168  1.0086     0.0096   -0.0356       0.0048
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par09.sumstats.gz              ../SAMPLE_DATA/OTHER_TRAITS_GWAS/BipolarDisorderAll/munged.sumstats.gz  0.1031  0.0442  2.3340  0.0196  0.0699     0.0029  1.0329     0.0112   -0.0357       0.0046
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par09.sumstats.gz                      ../SAMPLE_DATA/OTHER_TRAITS_GWAS/Handedness/munged.sumstats.gz  0.0214  0.0919  0.2325  0.8162  0.0126     0.0016  1.0325     0.0073   -0.0008       0.0040
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par09.sumstats.gz                    ../SAMPLE_DATA/OTHER_TRAITS_GWAS/Intelligence/munged.sumstats.gz -0.0508  0.0495 -1.0254  0.3052  1.5194     0.0831  1.0097     0.0082    0.0044       0.0038
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par09.sumstats.gz  ../SAMPLE_DATA/OTHER_TRAITS_GWAS/LanguageFunctionalConnectivity/munged.sumstats.gz  0.1199  0.0539  2.2268  0.0260  0.3863     0.0261  1.0106     0.0076   -0.1096       0.0036
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par09.sumstats.gz                             ../SAMPLE_DATA/OTHER_TRAITS_GWAS/OCD/munged.sumstats.gz  0.2932  0.0972  3.0162  0.0026  0.3131     0.0489  0.9950     0.0067   -0.0209       0.0036
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par09.sumstats.gz                   ../SAMPLE_DATA/OTHER_TRAITS_GWAS/Schizophrenia/munged.sumstats.gz  0.1442  0.0427  3.3771  0.0007  0.4414     0.0179  1.0412     0.0122   -0.0403       0.0053
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par10.sumstats.gz                            ../SAMPLE_DATA/OTHER_TRAITS_GWAS/ADHD/munged.sumstats.gz  0.0205  0.0450  0.4566  0.6479  0.2372     0.0155  1.0318     0.0105   -0.0203       0.0049
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par10.sumstats.gz                             ../SAMPLE_DATA/OTHER_TRAITS_GWAS/ASD/munged.sumstats.gz  0.1281  0.0537  2.3845  0.0171  0.1939     0.0168  1.0086     0.0096   -0.0292       0.0051
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par10.sumstats.gz              ../SAMPLE_DATA/OTHER_TRAITS_GWAS/BipolarDisorderAll/munged.sumstats.gz  0.0698  0.0322  2.1699  0.0300  0.0699     0.0029  1.0329     0.0112   -0.0300       0.0048
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par10.sumstats.gz                      ../SAMPLE_DATA/OTHER_TRAITS_GWAS/Handedness/munged.sumstats.gz  0.0237  0.0674  0.3520  0.7248  0.0126     0.0016  1.0325     0.0073    0.0045       0.0039
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par10.sumstats.gz                    ../SAMPLE_DATA/OTHER_TRAITS_GWAS/Intelligence/munged.sumstats.gz  0.0025  0.0327  0.0766  0.9389  1.5194     0.0831  1.0097     0.0082    0.0027       0.0036
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par10.sumstats.gz  ../SAMPLE_DATA/OTHER_TRAITS_GWAS/LanguageFunctionalConnectivity/munged.sumstats.gz  0.0731  0.0500  1.4614  0.1439  0.3863     0.0261  1.0106     0.0076   -0.1068       0.0039
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par10.sumstats.gz                             ../SAMPLE_DATA/OTHER_TRAITS_GWAS/OCD/munged.sumstats.gz -0.0294  0.0731 -0.4028  0.6871  0.3131     0.0489  0.9950     0.0067   -0.0092       0.0040
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par10.sumstats.gz                   ../SAMPLE_DATA/OTHER_TRAITS_GWAS/Schizophrenia/munged.sumstats.gz  0.0602  0.0295  2.0404  0.0413  0.4414     0.0179  1.0412     0.0122   -0.0323       0.0047
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par11.sumstats.gz                            ../SAMPLE_DATA/OTHER_TRAITS_GWAS/ADHD/munged.sumstats.gz  0.0689  0.0449  1.5361  0.1245  0.2372     0.0155  1.0318     0.0105   -0.0252       0.0046
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par11.sumstats.gz                             ../SAMPLE_DATA/OTHER_TRAITS_GWAS/ASD/munged.sumstats.gz  0.1298  0.0508  2.5521  0.0107  0.1939     0.0168  1.0086     0.0096   -0.0294       0.0047
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par11.sumstats.gz              ../SAMPLE_DATA/OTHER_TRAITS_GWAS/BipolarDisorderAll/munged.sumstats.gz  0.0719  0.0314  2.2887  0.0221  0.0699     0.0029  1.0329     0.0112   -0.0314       0.0042
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par11.sumstats.gz                      ../SAMPLE_DATA/OTHER_TRAITS_GWAS/Handedness/munged.sumstats.gz  0.0195  0.0653  0.2984  0.7654  0.0126     0.0016  1.0325     0.0073    0.0058       0.0036
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par11.sumstats.gz                    ../SAMPLE_DATA/OTHER_TRAITS_GWAS/Intelligence/munged.sumstats.gz  0.0604  0.0381  1.5854  0.1129  1.5194     0.0831  1.0097     0.0082   -0.0021       0.0038
