ind,I_I,I_IF,I_p-Value,I_Significance,D_D,D_DF,D_p-Value,D_Significance,F_F,F_FF,F_p-Value,F_Significance,label
23,1.13264311777269e-06,2.46915200454459,9.99900009999e-05,6,1.01108495598894e-05,22.1238194237566,9.99900009999e-05,6,4.59815542989783e-07,31.2252195646995,9.99900009999e-05,6,L posteriorcingulate
24,1.32413351844389e-06,1.45212654578925,9.99900009999e-05,6,9.33026436834605e-06,10.2669378585152,9.99900009999e-05,6,9.14031619303494e-07,51.0022368204065,9.99900009999e-05,6,L precentral
25,1.82884467962746e-06,1.72102321776808,9.99900009999e-05,6,1.01980438558659e-05,9.59687520196138,9.99900009999e-05,6,1.06266395638084e-06,46.3311092479866,9.99900009999e-05,6,L precuneus
26,1.24900607807499e-06,1.66214174991581,9.99900009999e-05,6,2.04874659097845e-05,27.2820931242346,9.99900009999e-05,6,7.53282237520662e-07,20.4007195218037,9.99900009999e-05,6,L rostralanteriorcingulate
27,2.43070620628513e-06,1.28773900332184,9.99900009999e-05,6,1.34006215161077e-05,7.10257846038257,9.99900009999e-05,6,1.88734956824501e-06,39.2798131183905,9.99900009999e-05,6,L rostralmiddlefrontal
28,1.91795281446935e-06,1.53494218953081,9.99900009999e-05,6,7.78669578483272e-06,6.21495745216826,9.99900009999e-05,6,1.2537955343729e-06,37.329650353569,9.99900009999e-05,6,L superiorfrontal
29,2.80354880914088e-06,1.42135276426191,9.99900009999e-05,6,1.89907208977898e-05,9.63650971542667,9.99900009999e-05,6,1.97311717466227e-06,57.1898091095382,9.99900009999e-05,6,L superiorparietal
30,1.34317621720746e-06,1.55844201850926,9.99900009999e-05,6,3.35656053847865e-05,39.1623971371764,9.99900009999e-05,6,8.64636502398588e-07,27.8009754214198,9.99900009999e-05,6,L superiortemporal
31,2.68025499607509e-06,1.39488117454578,0.00011998800119988,5,3.08725463155421e-05,16.0406221310076,9.99900009999e-05,6,1.92694588661994e-06,63.0848377215751,9.99900009999e-05,6,L supramarginal
32,1.87867959877192e-06,1.61396511697199,0.00045995400459954,5,7.75760098307271e-06,6.61711545991721,0.00041995800419958,5,1.16844893369542e-06,14.8453442820749,9.99900009999e-05,6,L frontalpole
33,1.37524651221568e-06,1.52424914245899,0.0001999800019998,5,2.56992483512067e-05,28.3262588503799,9.99900009999e-05,6,9.06684287430707e-07,12.2846780821819,9.99900009999e-05,6,L temporalpole
34,6.22255841767704e-07,1.89888752789817,9.99900009999e-05,6,1.4987244023166e-05,46.6842518137435,9.99900009999e-05,6,3.30408926080203e-07,25.2265958031305,9.99900009999e-05,6,L transversetemporal
35,4.65469604206358e-07,1.68684268702857,9.99900009999e-05,6,4.78020560470794e-06,17.3353356983456,9.99900009999e-05,6,2.75604135961759e-07,10.2725276388991,9.99900009999e-05,6,L insula
