Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Primary_hematopoietic_stem_cells_G-CSF-mobilized_Female__H3K36me3	4.31432113875e-08	4.14525098855e-08	0.148987330693
Cortex_derived_primary_cultured_neurospheres__H3K4me3	1.99685923908e-07	1.95400828144e-07	0.153407069946
Fetal_Muscle_Trunk__H3K27ac	6.84355772502e-08	6.7868586134e-08	0.156642213968
Nerve-Tibial_ENTEX__H3K4me1	4.46845600908e-08	4.43612421068e-08	0.156898125611
Stomach_Smooth_Muscle__H3K4me3	1.05610942988e-07	1.07154327498e-07	0.162165548687
Breast_variant_Human_Mammary_Epithelial_Cells_(vHMEC)__H3K4me1	4.81073692837e-08	4.90947699166e-08	0.163570736793
Primary_hematopoietic_stem_cells_G-CSF-mobilized_Female__H3K4me3	1.48375831558e-07	1.51630789196e-07	0.16390522527
Right_Ventricle__H3K36me3	7.51971273472e-08	7.69975291016e-08	0.164379298647
Brain_Substantia_Nigra__H3K27ac	3.71286321072e-08	3.82094085657e-08	0.165596328141
Artery-Coronary_ENTEX__H3K27ac	4.08025377321e-08	4.28263254218e-08	0.170359819217
Fetal_Muscle_Trunk__DNase	8.97697860923e-08	9.50669686701e-08	0.172513428967
Aorta_ENTEX__H3K36me3	3.71170630041e-08	3.93842267092e-08	0.17298505701
Nerve-Tibial_ENTEX__H3K27ac	2.99527751297e-08	3.19925250513e-08	0.174574064301
Breast_variant_Human_Mammary_Epithelial_Cells_(vHMEC)__DNase	1.00067745787e-07	1.07080881374e-07	0.175021423889
Esoph-Mucosa_ENTEX__H3K4me3	1.36047237676e-07	1.45893407826e-07	0.175536199092
Heart-LV_ENTEX__H3K36me3	6.10990349421e-08	6.55675843237e-08	0.175707492377
Testis_ENTEX__H3K4me3	8.49978469323e-08	9.1611732413e-08	0.176754298316
Gastric__H3K36me3	7.03783978015e-08	7.62323524769e-08	0.177949136448
Foreskin_Fibroblast_Primary_Cells_skin02__H3K4me3	6.03202371128e-08	6.55870100597e-08	0.178865318426
Aorta_ENTEX__H3K27ac	2.39265511604e-08	2.61766278605e-08	0.180347249212
Rectal_Smooth_Muscle__H3K4me1	5.76701285344e-08	6.33569030852e-08	0.181347389675
