Name	Coefficient	Coefficient_std_error	Coefficient_P_value	partition
Duodenum_Mucosa__H3K36me3	5.05528529983e-08	6.47647618397e-08	0.217530342555	1
Fetal_Kidney__H3K4me1	1.36773490035e-07	1.76626508453e-07	0.219357313826	1
Pancreas_ENTEX__H3K36me3	4.26384459562e-08	5.59740519856e-08	0.223103483958	1
NHLF_Lung_Fibroblast_Primary_Cells__H3K4me1	8.94980136342e-08	1.17866151373e-07	0.223830863409	1
Placenta_Amnion__H3K4me1	4.48336893015e-08	5.94729688004e-08	0.22546968991	1
Foreskin_Fibroblast_Primary_Cells_skin02__H3K27ac	6.22839605908e-08	8.51059852493e-08	0.232133128796	1
Heart-Atrial_ENTEX__H3K27ac	3.59487393183e-08	4.91364872875e-08	0.232203359613	1
Fetal_Heart__H3K4me1	3.26768035203e-08	4.48453679924e-08	0.233106349913	1
Esoph-GJ_ENTEX__H3K27ac	5.44832284347e-08	7.51696216322e-08	0.234286197899	1
Colon-Sigm_ENTEX__H3K4me3	2.44174175585e-07	3.409853292e-07	0.236969707757	1
NHLF_Lung_Fibroblast_Primary_Cells__H3K27ac	7.7558579493e-08	1.08865413732e-07	0.238100429708	1
liver_ENTEX__H3K27ac	3.13263036379e-08	4.42967277516e-08	0.239723499514	1
Fetal_Stomach__H3K27ac	4.93429086055e-08	7.18950875072e-08	0.246256230443	1
Foreskin_Fibroblast_Primary_Cells_skin02__DNase	8.69893828782e-08	1.30434238739e-07	0.252411175862	1
Thymus__H3K4me3	1.67696600117e-07	2.65638193543e-07	0.263923167359	1
Colon-Sigm_ENTEX__H3K27ac	4.98727713633e-08	8.10168309896e-08	0.26908412314	1
Duodenum_Smooth_Muscle__H3K4me1	5.93818829585e-08	9.70902287004e-08	0.270396110072	1
NHDF-Ad_Adult_Dermal_Fibroblast_Primary_Cells__H3K4me3	1.58214767528e-07	2.61534423159e-07	0.272606721707	1
Placenta__H3K4me1	3.79568790399e-08	6.30771586011e-08	0.273669231645	1
Primary_monocytes_from_peripheral_blood__H3K36me3	2.71914507053e-08	4.53124910151e-08	0.274224025682	1
NHLF_Lung_Fibroblast_Primary_Cells__H3K36me3	1.08444708089e-07	1.81137669383e-07	0.274690923975	1
Pancreatic_Islets__H3K36me3	6.72218863572e-08	1.14451911874e-07	0.278488569621	1
